UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 07:48 ?        00:00:00 /sbin/init
root           2       1  0 07:48 hvc0     00:00:00 /init
root           6       2  0 07:48 hvc0     00:00:00 plan9 --control-socket 7 --log-level 4 --server-fd 8 --pipe-fd 10 --log-truncate
root          42       1  0 07:48 ?        00:00:00 /usr/lib/systemd/systemd-journald
root          94       1  0 07:48 ?        00:00:01 /usr/lib/systemd/systemd-udevd
systemd+     109       1  0 07:48 ?        00:00:00 /usr/lib/systemd/systemd-resolved
systemd+     110       1  0 07:48 ?        00:00:00 /usr/lib/systemd/systemd-timesyncd
root         174       1  0 07:48 ?        00:00:00 /usr/sbin/cron -f -P
message+     175       1  0 07:48 ?        00:00:00 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         190       1  0 07:48 ?        00:00:00 /usr/lib/systemd/systemd-logind
root         228       1  0 07:48 tty1     00:00:00 /sbin/agetty -o -p -- \u --noclear - linux
syslog       229       1  0 07:48 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root         291       1  0 07:48 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root         349       2  0 07:48 ?        00:00:00 /init
root         350     349  0 07:48 ?        00:00:00 /init
kavya        351     350  0 07:48 pts/0    00:00:00 -bash
root         352       2  0 07:48 pts/1    00:00:00 /bin/login -f
kavya        398       1  0 07:48 ?        00:00:00 /usr/lib/systemd/systemd --user
kavya        399     398  0 07:48 ?        00:00:00 (sd-pam)
kavya        459     352  0 07:48 pts/1    00:00:00 -bash
root         994       2  0 07:49 ?        00:00:00 /init
root         995     994  0 07:49 ?        00:00:00 /init
kavya        996     995  0 07:49 pts/2    00:00:00 sh -c "$VSCODE_WSL_EXT_LOCATION/scripts/wslServer.sh" 08d4889f9ec4a1685d257b9b95de036c8e1ce1e5 stable code-server .vscode-server --host=127.0.0.1 --port=0 --connection-token=3359542126-3488478826-392091514-3090240991 --use-host-proxy --without-browser-env-var --disable-websocket-compression --accept-server-license-terms --telemetry-level=all
